berita,tagging
"Pergantian Kartu Keluarga Warga DKI JakartaDinas Dukcapil Jakarta tidak mewajibkan warga Jakarta mengganti KK lamanya dengan tenggat waktu. Imbauan untuk segera memutakhirkan data memang terus didorong pemerintah, terutama input data status pernikahan, golongan darah, dan susunan anggota keluarga.",Hoax
"usus ibunya dimakan oleh Bayi iniBayi ini 11 bln dlm perut ibunya.
 Habis usus ibunya dimakan oleh Bayi ini, kemudian dokter mengoprasi ibunya untuk mengeluarkan Bayi ini… Ketika Bayi ini keluar, dia gigit tangan perawat… Setelah 3 jam si Perawat meninggal, IBU Bayi ini pun meninggal setelah Bayi ini keluar… Bayi ini lahir dgn berat 8 kg, setelah 3 jam bertambah naik beratnya menjadi 13 kg… Bayi ini lahir hari jumat, tidak tahu Allah ingin kasi peringatan apa untuk kita semua… Bayi ni kemudian dibunuh, dokter memberinya suntik mematikan sampai 17 kali baru bayi ini mati… Ini kisah benar-benar terjadi di India… Wallahu A’lam",Hoax
"Foto awan mengerikan di JepangNgeri si, semoga tmn2 yg ada disana selamat amin yrb #PrayForJapan",Hoax
"Narasi Presiden Korea Utara menghukum pejabatnya yang korupsiPresiden Korea Utara menghukum pejabatnya yang terlibat dalam kasus korupsi dihadapan para awak media cetak dan elektronik.
 
 Caranya ?
 Berrjalan bergandengan tangan lalu…
 Plung ! Dibawahnya kandang BUAYA……!!! Luaaaar biasaaa…!!!",Hoax
"Almarhum Habibie di Formasi Jas Merah Mob UMMAdapun formasi tersebut adalah merah-putih, KH Ahmad Dahlan, Logo UMM, Students Today, Leaders Tomorrow, Peta Indonesia, dan Pray for Lombok.",Hoax
Petugas Tewas Tersetrum Ketika Melakukan Perbaikan ListrikKECAMATAN PEDURUNGAN,Hoax
TV Luar Negeri Sudah Memberitakan Prabowo The Next PresidenTV Luar Negeri Sudah Memberitakan Prabowo The Next Presiden,Hoax
"Ketua KPU Umroh Bareng JokowiANEH !! MENJELANG HARI H PEMILU KOQ BISA2NYA KETUA KPU UMROH BARENG JOKOWI ??? PADAHAL BANYAK MASALAH DI KPU SAAT INI TERUTAMA DI KPLN.
BUKANKAH INI PELANGGARAN ???",Hoax
"Tiket Promo Kereta Api Hut BUMN 21jalan2 naik kereta yuuuuk
 
 Hayo jalan2… Tiket KA Promo…",Hoax
Simulasi orang Gila di bawa ke TPS saat pemilu nantiSimulasi orang Gila di bawa ke TPS saat pemilu nanti.Pertama terjadi Di Dunia.!,Hoax
"BROADCAST WHATSAPP INFO TEST SELEKSI GTT/PTTTabe.. Siapa tahu ada keluargata yg guru SMA, ini ada info",Hoax
"Puan Maharani Buka Posko Logistik di Reuni 212INFO. BUAT ALUMNI 212 HARAP HINDARI POSKO 14 DI MONAS, POSKO 14 MILIK PUAN MAHARANI YANG MENUJU KE ISTIQLAL. SEBARKAN AGAR JAMA’AH YANG LAIN TAU",Hoax
Penerbangan Pesawat Hercules Gratis Ke Palu Untuk Keluarga Korban Gempa dan TsunamiJadwal Hercules malam ini jam 19.00 dan 03.00 subuh besok. Di Lanud Makassar.,Hoax
"Capt. Pribadi adalah pengemudi pesawat yang mengijinkan Hj. Neno Warisman“… Capt. Pribadi adalah pengemudi pesawat yang mengijinkan Hj. Neno Warisman, sang dedengkot gerakan makar #2019GantiKhilafah untuk menggunakan sistem pengeras suara pesawat beberapa waktu lalu …”",Hoax
"Coach Indra Sjafri: Saya Pernah 1 Tahun Tak Digaji, tapi IkhlasKendati sukses mengantarkan Timnas Indonesia U-19 juara Piala AFF U-19 2013 dan lolos ke putaran final Piala Asia U-19 2014",Valid
Dua Alquran Yang diklaim Sebagai Al-Quran Palsu Kembali Beredarini alqur’an palsu karang orang kafir,Hoax
"Yel-yel Kecebong Yang Merencanakan Untuk Menyusup di CFDAne sebarin deh videonya. Nih liat yel-yel kecebong yg merencanakan untuk menyusup di CFD untuk menghancurkan HASTAG #2019GantiPresiden.
 Cc. @BangPino_ @NetizenTofa @zarazettirazr @roninkhalid @Ndoro__Putrie @RestyCayah @ardi_riau
 “….DAN ALLAH SEBAIK-BAIK PEMBALAS TIPU DAYA”",Hoax
"Kronologis Polisi Berondong Sedan Terobos Razia di LubuklinggauInnalillah… Hanya Karena Lalai Terobos Razia, Mobil Berisi Satu Keluarga Ditembaki Polisi, Satu Orang Tewas",Valid
"Kemristekdikti: bukan undang dosen asing tapi profesor kelas dunia”Bukan dosen asing, tapi profesor kelas dunia. Orang Indonesia pun bisa mengikuti program ini, asalkan dia mengajar di universitas di luar negeri dan mempunyai koneksi dengan peraih Nobel,” kata Direktur Jenderal Sumber Daya Iptek dan Dikti Kemristekdikti Ali Ghufron Mukti di Jakarta, Selasa",Valid
"Kecam Pernyataan Said Aqil, Neno Warisman: Kami Para Ibu Tidak Terima!Kecam Pernyataan Said Aqil, Neno Warisman: Kami Para Ibu Tidak Terima!
 Pernyataan kontroversial Ketua PBNU Said Aqil Siradj yang mengatakan “nonton film porno lebih baik daripada dengarkan ceramah radikal karena sambil istighfar” mendapat kecaman dari pegiat pendidikan anak Neno Warisman. Dia menuliskan kemarahannya dalam tulisan berikut ini:…",Hoax
"Memerangi Allah Of Kung Fu“Padahal nama tersebut merupakan hasil translate otomatis Google dari game aslinya yang berjudul “Galaxy Fighting, God of Kung Fu”.",Hoax
"Permen Susu Mengandung NarkobaAssalamu’alaikum… ini ada informasi dari teman dokter. Anaknya bidan di Banyumas makan permen susu, trus 3 hari gk mau makan, ngefly. Disarankan temen dokter di purbalingga untuk membawa permen tsb ke BNN, ternyata hasilnya positif mengandung narkoba jenis benzodiazepin.",Hoax
Konser Anies - Sandi No 3 Menang Telak#KONSER GUE 3 MENANG TELAK,Hoax
"Poster Aksi Damai Bela Islam 5 Yang Mencantumkan Nama dan Foto Gatot NurmantyoBeredarnya poster aksi damai bela Islam 5 menjadi viral di media sosial. Sebab, di dalam poster tersebut terdapat nama dan foto Panglima TNI Jenderal Gatot Nurmantyo",Hoax
"Surat C6 Sebagai Syarat Memberikan Hak Pilih Pada Pilkada DKI JakartaPengumuman penting soal Pilkada DKI 2017. Pemilih Wajib ambil surat C6 on 12 – 13 Feb dgn pengurus RT. Apabila sampe 14 Feb surat C6 tidak diambil langsung pemilik, RT akan kembalikan ke KPU & warga DKI yg tidak milik C6 hanya bisa memilih jam 12.00 – 13.00 saja! Bawa E-KTP, SuKet + KK asli. Jika lewat dari pk 13.00 Suara Anda Hangus! Tlg Sebarkan! Thank you",Valid
: Pernyataan Danjen Kopassus Dukung FPITNI umumnya WARAS kecuali wereng coklat…kenapa gitu yah ? masa sih sejarah buruk harus terulang kembali…kan serem bgt. DANJEN KOPASSUS :FPI ITU ORMAS TERBESAR DAN SUKA MEMBANTU MEMBERANTAS KEMAHSIATAN. YANG HARUS DIBUBARKAN ORMAS PREMAN YANG SUKA MEMBEKINGI KEMAHSIATAN DAN SUKA BIKIN RESAH MASYARAKAT.,Hoax
"Gambar Salib Pada Barang Bantuan Bencanahati hati, dan Harus teliti menerima segala bentuk bantuan korban gempa. Kami mendapatkan gambar salib di handuk bantuan yg di edarkan",Hoax
AKSI 212 DAPAT PENGHARGAAN REKOR DUNIATersebar gambar dua piagam yang menyatakan jika aksi 212 mendapat penghargaan dari REKOR DUNIA,Hoax
Foto Petinggi Kepolisian Mengizinkan Demo Neo PKIDemo Neo PKI hari ini udah dapat ijin dari Buntelan kentut maaf ralat Dari Petinggi Kepolisian Tinggal tunggu gendering perang ditabuh aja”,Hoax
Tulisan Mana teriakan Saya Pancasila mu? Oleh Dr Abdul Muti MEdMana teriakan “Saya Pancasila mu ?” Oleh : Dr Abdul Mu’ti Med (Sekum PP Muhamadyah),Hoax
"Petugas Rapid Test Jarang Mengganti Sarung Tangan, Bisa Tularkan Covid-19 dari Pasien SebelumnyaBila tiba-tiba anda/panjenengan terjebak dalam oprasi rapid tes dadakan/ujug ujug datang petugas yang mengharuskan mengikuti rapid tes, maka perlu diperhatikan sarung tangan petugs, kalau sarung tangan yang dipakai hanya itu-itu saja (satu) yang dipakai, tanpa ganti ganti, dimana setelah petugas itu pegang orang/oasien yang rapid tes, kemudian tanpa ganti sarung tangan petugas lalu memegang anda/panjenengan, maka disinilah letak rawannya penularan virus nya, karena kita ngga tau dan petugas pun ngga tau, apakah orang yang dipegang sebelum kita tadi, orang tersebut positif/reaktif atau negatif.. jadi penularan bukan karena kita berada ditempat umum saja, akan tetapi saat rapid tes dilakukan massal",Hoax
"Video Dokter BuleIni nih dokter bule juga ngomong serupa bahkan ngasih data lebih lengkap & detail. Intinya covid 19 itu biasa aja, nggak mematikan, bisa sembuh sendiri. Mereka juga mengatakan kalau banyak yang meninggal karena penyakit lain tapi dimasukkan ke daftar covid 19 (kirain di sinih aja yang begitu). Lockdown / PSBB justru menimbulkan dampak yang sangat jauh lebih buruk dibanding covid 19.",Hoax
Vietnam Tidak Ada Korban Meninggal Covid-19 Karena Teh dan LemonKabar gembira dan istimewa.. Vietnam korban covid 19 tidak ada yng mati…Berita super.. obat virus covid 19 sudah tercapai informasi dari negara Vietnam.. virus covid 19 tidak menyebabkan kematian.. ternyata resepnya sangat sederhana tapi sangat ampuh.. hanya 1 teh..2 lemon..minumlah teh panas setelah di campur perasan lemon..dapat segera membunuh virus covid 19..dan dapat sepenuhnya menghilangkan virus covid 19 dari tubuh…2 bahan ini membuat sistem kekebalan tubuh menjadi bersifat basa.. karena ketika malam tiba sistem tubuh menjadi asam.. kemampuan detensif juga akan berkurang.. itulah sebabnya orang Vietnam santai saja dengan menyebarnya virus covid 19… Di Vietnam rata2 semua orang minum segelas air panas dengan sedikit lemon di malam hari… Karena telah terbukti membunuh virus covid 19 secara total… Bagikan resep sakti ini kepada siapapun untuk memburu pahala… Resep sederhana ini sangat efektif karena tidak akan terinfeksi virus covid 19.. Atas izin Tuhan YME…Selamat mencoba…,Hoax
"Ratusan Warga China yang Menetap di Indonesia Menuju Singapura karena Virus CoronaRatusan warga china yang Menetap di Indonesia tadi Pagi meninggalkan Indonesia Menuju Singapura karena situasi virus Corona yang menyerang Indonesia Mereka akan Kembali lagi jika situasi Di Indonesia Kembali normal,",Hoax
Dua orang Terinfeksi Virus Corona Di ParepareDua orang Terinfeksi Virus Corona Di Parepare… Waspada ki semua… Tidak main main ini,Hoax
the Simpsons 1993 memprediksi Corona virus dari ChinaJangan pernah meremehkan the simpsons… the Simpsons 1993.. Corona virus dari China..,Hoax
"Setelah Membakar Al-Quran Jari Tangan Pria Ini Menghitam dan Membusuk Mengeluarkan Bau MenjijikanAzab yang sangat pedih menimpa seorang warga negara Amerika. Karena merobek-robek dan membakar Al-qur’an, dia terkena penyakit yang sangat misteri. Semua jari di kedua tangannya melepuh, membusuk, dan menghitam. Selain itu, pada lukanya tersebut juga menimbulkan aroma yang tak sedap.",Hoax
"Marak Lowongan Kerja Mengatasnamakan Perusahaannya, PT Inalum Minta Masyarakat WaspadaManajer Humas PT Inalum, Bambang Heru Prayoga: “Informasi selain dari yang kami sebutkan ini maka hal itu dipastikan hoaks atau penipuan. Kami harap tidak ada masyarakat yang terkena penipuan rekrutmen atas nama Inalum,",Hoax
"Cara Cepat Cek Jantung Dengan Air dan Es Batu*INGIN MENGETAHUI BAGAIMANA KESEHATAN JANTUNG ANDA?*
 Tes sederhana ini mendeteksi seberapa sehat jantung kita.
 Menjaga jantung agar tetap berfungsi dengan baik sangat penting untuk kehidupan sehat jangka panjang.",Hoax
"Presiden Jokowi Melecehkan Bendera Merah Putihcoba dilhat baik” yang melecehkan bendara Indonesia yang mana? tapi nyatanya yang sekarang di tahan di Polda metro yang pegang bendara merah putih di tangan, mohon yang punya kekuatan hukum advokat pengacara atau apa saja minta tolong didampingin anak STM ini kasihan tidak ada yang membelanya.",Hoax
Suntingan Video Merry Riana Indonesia Bubar?VIRAL: INDONESIA BUBAR ? INI VIDEO MERRY RIANA YANG ASLI (TONTON SAMPAI HABIS) !!! |,Hoax
SEMUA YANG BERBAU JAWA DI JAYAPURA HANCURVideo KEADAAN TERAKHIR jayapura …mau ke BANDARA saja sampai 3 hari dan dikawal MARINIR DIEVAKUASI …semua yg berbau JAWA HANCUR !!!,Hoax
"Bahaya Daging Kurban Dibungkus Kresek HitamYusuf Ridwan mengatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. Akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama.Yusuf Ridwan mengatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. Akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama.",Valid
"AM HendroPriyono Meninggal Di SingapuraINNALILAHIWAINALRAJIUN..
TELAH MATI SEORANG PEMBANTAI RAKYAT HENDROPRAYONO D SINGAPORE…JGN D UCAPI MENINGGAL..KARNA DIA PEMBANTAI MANUSIA",Hoax
Penjelasan terkait Video Truk Kontainer Bergambar Jokowi-Maruf AminTruk semi kontainer Paslon 01 ini kira-kira membawa apa ,Valid
"Bahaya Semut/Kutu Jepang utk DIABETES.INFO : Bahaya Semut/Kutu Jepang utk DIABETES.
Ada sahabat sy (ibu2) di Magelang pengidap Diabetes, kmd dia konsumsi Semut/Kutu Jepang yg katanya bisa mengobati Diabetes, mungkin benar karena Semut itu mengeluarkan insulin.
Tapi hanya dalam waktu SATU TAHUN mengkonsumsi Semut/Kutu Jepang itu, ternyata ususnya terkena bakteri dan rusak, sehingga harus dipotong ususnya.",Hoax
"CNN Indonesia Buat Berita Berjudul SERTIFIKAT GANDA KERJA REZIM JOKOWICNN INDONESIA

SERTIFIKAT GANDA KERJA REZIM JOKOWI
10 November 2018",Hoax
"paham politik gak sih pak?Aduh pak, bukan kelemahannya pak Jokowi itu,
anda yang gak mudeng, justru itu yang bikin anda dan kampret makin terlihat bodoh,
paham politik gak sih pak?",Hoax
"Judul Berita Prabowo: Mengaji Tidak Dibutuhkan Dalam Memimpin Negaraah Pokoknya apa kata Prabowo laaah…..
 Amin Rais jangan nyinyir yaaaa keh keh keh",Hoax
"Universitas Muhammadiyah Kupang Bantah Akan Menginisasi Gerakan #GantiPresiden2019Terkait salah satu dosennya menjadi insiator Gerakan #GantiPresiden2019 di Kabupaten Manggarai Barat, Nusa Tenggara Timur (NTT), pihak Universitas Muhammadiyah Kupang (UMK) membantah bahwa kampusnya terlibat dalam gerakan tersebut.",Valid
PKS dan Gerindra Purwakarta Bantah Pasang Spanduk yang Dinilai ProvokatifKami Caleg Partai Gerindra dan PKS Menolak Khilafah. Indonesia Damai Menolak Khilafah di Wilayah Purwakarta. Barisan Muda Muslim Purwakarta.,Valid
"Kalimantan Barat MemanasMENANG SONGONG, KALAH NGAMUK!",Hoax
"Tersangka Ujaran Kebencian Dosen USU, Himma Dewiyana, DibebaskanTerima kasih bang Romo Syafi’i dan Ketua KAHMI telah membantu membebaskan ibu Himma.",Hoax
